"","taxon","fraction.dark","number.total","number.dark","number.known"
"161","Pleuronectiformes",0.36541889483066,561,205,356
"162","Polymixiiformes",0.4,10,4,6
"163","Polypteriformes",0.25,16,4,12
"164","Salmoniformes",0.460966542750929,269,124,145
"165","Scombriformes",0.278625954198473,262,73,189
"166","Siluriformes",0.389784024682893,2917,1137,1780
"167","Spariformes",0.112612612612613,222,25,197
"168","Stomiatiformes",0.555900621118012,322,179,143
"169","Stylephoriformes",0,1,0,1
"170","Synbranchiformes",0.333333333333333,117,39,78
"171","Syngnathiformes",0.560583941605839,685,384,301
"172","Tetraodontiformes",0.34675615212528,447,155,292
"173","Uranoscopiformes",0.120481927710843,83,10,73
"174","Zeiformes",0.388888888888889,36,14,22
"175","Amphibia",0.327834284296701,8062,2643,5419
"176","Birds",0.0371786700658594,9414,350,9064
"177","Lepidosaurs",0.159567275185936,7395,1180,6215
"178","Turtles",0.127710843373494,415,53,362
"179","Crocodilians",0.375,24,9,15
"180","Myxiniformes",0.361702127659574,47,17,30
"181","Petromyzontiformes",0.563106796116505,103,58,45
